exp,,,,Error types,,,,,,pass rate by program length (short -> long),,,,,,,
Python - Java 158 programs,Pass@1(n=20),Pass@5(n=20),Pass@10(n=20),type_error,undeclared_error,other_syntax_error,assertion_error,runtime_error,unhelpful,pass (1st qt),pass (2nd qt),pass (3rd qt),pass (4th qt),Pass,src_lang,tgt_lang,shots
explain-lbl-simp -> translation (4 shot),0.855,0.883,0.892,0,0.009,0,0.116,0.009,0,0.893,0.897,0.889,0.786,0.855,d,cpp,4
,,,,,,,,,,,,,,,,,
Lua - Racket (145),,,,,,,,,,,,,,,,,
baseline (0 shot),0.296,0.425,0.484,0,0.069,0.476,0.145,0.028,0,0.541,0.361,0.111,0.111,0.296,lua,rkt,0
explain -> translation,0.452,0.594,0.64,0,0.09,0.179,0.276,0.034,0,0.649,0.583,0.25,0.194,0.452,lua,rkt,0
explain-lbl -> translation ,0.38,0.508,0.556,0,0.11,0.255,0.234,0.034,0,0.649,0.389,0.278,0.139,0.38,lua,rkt,0
explain-lbl-simp -> translation ,0.377,0.492,0.535,0,0.145,0.2,0.248,0.028,0,0.622,0.417,0.278,0.194,0.377,lua,rkt,0
baseline (4 shot),0.492,0.612,0.654,0,0.076,0.16,0.215,0.021,0,0.833,0.639,0.333,0.306,0.492,lua,rkt,4
explain (0 shot) -> translation (4 shot),0.49,0.613,0.668,0,0.057,0.1,0.293,0.029,0,0.806,0.588,0.457,0.229,0.49,lua,rkt,4
explain-lbl -> translation (4 shot),0.5,0.63,0.678,0,0.085,0.135,0.248,0.028,0,0.778,0.571,0.486,0.171,0.5,lua,rkt,4
explain-lbl-simp -> translation (4 shot),0.487,0.613,0.65,0,0.106,0.156,0.227,0.028,0,0.778,0.6,0.371,0.171,0.487,lua,rkt,4
,,,,,,,,,,,,,,,,,
Racket - Julia (137),,,,,,,,,,,,,,,,,
baseline (0 shot),0.633,0.714,0.727,0.022,0.066,0.146,0.109,0,0.029,0.743,0.706,0.571,0.485,0.633,rkt,jl,0
explain -> translation,0.643,0.698,0.715,0.015,0.058,0.153,0.153,0,0,0.771,0.765,0.486,0.455,0.643,rkt,jl,0
explain-lbl -> translation ,0.677,0.745,0.762,0.022,0.058,0.117,0.139,0,0,0.771,0.794,0.629,0.455,0.677,rkt,jl,0
explain-lbl-simp -> translation ,0.621,0.702,0.727,0.015,0.058,0.124,0.168,0,0,0.829,0.794,0.514,0.394,0.621,rkt,jl,0
baseline (4 shot),0.717,0.768,0.791,0.015,0.023,0.09,0.15,0,0,0.943,0.758,0.625,0.545,0.717,rkt,jl,4
explain (0 shot) -> translation (4 shot),0.704,0.769,0.79,0.008,0.038,0.068,0.165,0,0,0.8,0.818,0.75,0.515,0.704,rkt,jl,4
explain-lbl -> translation (4 shot),0.73,0.785,0.796,0.015,0.023,0.075,0.158,0,0,0.829,0.848,0.719,0.515,0.73,rkt,jl,4
explain-lbl-simp -> translation (4 shot),0.705,0.743,0.756,0.015,0.03,0.068,0.165,0,0,0.743,0.848,0.75,0.545,0.705,rkt,jl,4
,,,,,,,,,,,,,,,,,
D - Lua (116),,,,,,,,,,,,,,,,,
baseline (0 shot),0.684,0.75,0.771,0.009,0.078,0.043,0.207,0,0,0.9,0.607,0.655,0.483,0.684,d,lua,0
explain -> translation,0.694,0.737,0.75,0,0.078,0.034,0.216,0,0,0.833,0.679,0.655,0.517,0.694,d,lua,0
explain-lbl -> translation ,0.668,0.705,0.724,0,0.052,0.06,0.233,0,0,0.767,0.714,0.655,0.483,0.668,d,lua,0
explain-lbl-simp -> translation ,0.699,0.748,0.765,0,0.037,0.019,0.243,0,0,0.852,0.759,0.792,0.407,0.699,d,lua,0
baseline (4 shot),0.717,0.755,0.768,0,0.064,0.018,0.193,0,0,0.821,0.714,0.808,0.556,0.717,d,lua,4
explain (0 shot) -> translation (4 shot),0.703,0.723,0.732,0.018,0.046,0.009,0.22,0,0,0.786,0.679,0.769,0.593,0.703,d,lua,4
explain-lbl -> translation (4 shot),0.725,0.75,0.763,0.009,0.047,0.019,0.208,0,0,0.815,0.704,0.76,0.593,0.725,d,lua,4
explain-lbl-simp -> translation (4 shot),0.735,0.758,0.759,0.011,0.045,0.01,0.199,0,0,0.784,0.724,0.776,0.659,0.735,d,lua,4
,,,,,,,,,,,,,,,,,
"Julia - D (137) (starting from here, @1 is correct for errr breakdown and quantile",,,,,,,,,,,,,,,,,
baseline (0 shot),0.416,0.464,0.481,0.215,0.109,0.173,0.072,0.014,0,0.534,0.497,0.36,0.269,0.416,jl,d,0
explain -> translation,0.434,0.479,0.497,0.191,0.113,0.182,0.071,0.008,0,0.53,0.522,0.41,0.272,0.434,jl,d,0
explain-lbl -> translation ,0.436,0.486,0.506,0.195,0.118,0.169,0.074,0.008,0,0.533,0.519,0.403,0.285,0.436,jl,d,0
explain-lbl-simp -> translation ,0.414,0.469,0.492,0.197,0.123,0.2,0.058,0.007,0,0.531,0.506,0.378,0.238,0.414,jl,d,0
baseline (4 shot),0.438,0.491,0.508,0.192,0.072,0.192,0.096,0.011,0,0.5,0.453,0.454,0.344,0.438,jl,d,4
explain (0 shot) -> translation (4 shot),0.442,0.509,0.526,0.198,0.074,0.171,0.089,0.024,0,0.538,0.51,0.472,0.244,0.442,jl,d,4
explain-lbl -> translation (4 shot),0.438,0.488,0.507,0.205,0.077,0.169,0.086,0.025,0,0.525,0.497,0.477,0.248,0.438,jl,d,4
explain-lbl-simp -> translation (4 shot),0.398,0.447,0.462,0.203,0.082,0.208,0.089,0.021,0,0.472,0.463,0.439,0.217,0.398,jl,d,4
,,,,,,,,,,,,,,,,,
JavaScript - Java (152),,,,,,,,,,,,,,,,,
baseline (0 shot),0.77,0.815,0.829,0.053,0.064,0.028,0.077,0.008,0,0.818,0.766,0.832,0.644,0.77,js,java,0
explain -> translation,0.773,0.806,0.818,0.009,0.032,0.06,0.119,0.007,0,0.871,0.778,0.816,0.626,0.773,js,java,0
explain-lbl -> translation ,0.825,0.851,0.857,0.009,0.04,0.033,0.086,0.007,0,0.864,0.812,0.871,0.751,0.825,js,java,0
explain-lbl-simp -> translation ,0.835,0.872,0.886,0.008,0.042,0.017,0.089,0.009,0,0.866,0.832,0.889,0.753,0.835,js,java,0
baseline (4 shot),0.915,0.933,0.938,0.014,0.007,0.002,0.062,0,0,0.999,0.892,0.876,0.893,0.915,js,java,4
explain (0 shot) -> translation (4 shot),0.9,0.915,0.917,,,,,,,,,,,0.9,js,java,4
explain-lbl -> translation (4 shot),0.893,0.921,0.932,0.016,0.012,0.001,0.077,0.001,0,0.974,0.873,0.866,0.858,0.893,js,java,4
explain-lbl-simp -> translation (4 shot),0.867,0.882,0.891,,,,,,,,,,,0.867,js,java,4
,,,,,,,,,,,,,,,,,
C++ - Python (149),,,,,,,,,,,,,,,,,
baseline (0 shot),0.923,0.956,0.965,,,,,,,,,,,,cpp,py,0
explain -> translation,0.902,0.92,0.923,,,,,,,,,,,,cpp,py,0
explain-lbl -> translation ,0.905,0.919,0.924,,,,,,,,,,,,cpp,py,0
explain-lbl-simp -> translation ,0.913,0.923,0.925,,,,,,,,,,,,cpp,py,0
baseline (4 shot),0.939,0.956,0.961,,,,,,,,,,,,cpp,py,4
explain (0 shot) -> translation (4 shot),0.899,0.927,0.937,,,,,,,,,,,,cpp,py,4
explain-lbl -> translation (4 shot),0.894,0.911,0.914,,,,,,,,,,,,cpp,py,4
explain-lbl-simp -> translation (4 shot),0.892,0.905,0.908,,,,,,,,,,,,cpp,py,4
,,,,,,,,,,,,,,,,,
Java - C++ (155),,,,,,,,,,,,,,,,,
baseline (0 shot),0.77,0.802,0.812,,,,,,,,,,,,java,cpp,0
explain -> translation,0.798,0.841,0.855,,,,,,,,,,,,java,cpp,0
explain-lbl -> translation ,0.83,0.86,0.867,,,,,,,,,,,,java,cpp,0
explain-lbl-simp -> translation ,0.798,0.843,0.856,,,,,,,,,,,,java,cpp,0
baseline (4 shot),0.823,0.866,0.878,,,,,,,,,,,,java,cpp,4
explain (0 shot) -> translation (4 shot),0.811,0.845,0.856,,,,,,,,,,,,java,cpp,4
explain-lbl -> translation (4 shot),0.784,0.841,0.863,,,,,,,,,,,,java,cpp,4
explain-lbl-simp -> translation (4 shot),0.787,0.833,0.847,,,,,,,,,,,,java,cpp,4
,,,,,,,,,,,,,,,,,
Javascript - Racket (154),,,,,,,,,,,,,,,,,
baseline (0 shot),0.302,0.375,0.407,,,,,,,,,,,,js,rkt,0
explain -> translation,0.419,0.508,0.548,,,,,,,,,,,,js,rkt,0
explain-lbl -> translation ,0.415,0.537,0.579,,,,,,,,,,,,js,rkt,0
explain-lbl-simp -> translation ,0.379,0.458,0.483,,,,,,,,,,,,js,rkt,0
baseline (4 shot),0.447,0.572,0.618,,,,,,,,,,,,js,rkt,4
explain (0 shot) -> translation (4 shot),0.518,0.633,0.67,,,,,,,,,,,,js,rkt,4
explain-lbl -> translation (4 shot),0.498,0.651,0.697,,,,,,,,,,,,js,rkt,4
explain-lbl-simp -> translation (4 shot),0.463,0.601,0.655,,,,,,,,,,,,js,rkt,4
,,,,,,,,,,,,,,,,,
C++ - Lua (150),,,,,,,,,,,,,,,,,
baseline (0 shot),0.692,0.737,0.75,,,,,,,,,,,,cpp,lua,0
explain -> translation,0.719,0.774,0.791,,,,,,,,,,,,cpp,lua,0
explain-lbl -> translation ,0.725,0.763,0.779,,,,,,,,,,,,cpp,lua,0
explain-lbl-simp -> translation ,0.75,0.79,0.799,,,,,,,,,,,,cpp,lua,0
baseline (4 shot),0.792,0.842,0.851,,,,,,,,,,,,cpp,lua,4
explain (0 shot) -> translation (4 shot),0.772,0.79,0.799,,,,,,,,,,,,cpp,lua,4
explain-lbl -> translation (4 shot),0.751,0.775,0.781,,,,,,,,,,,,cpp,lua,4
explain-lbl-simp -> translation (4 shot),0.749,0.786,0.794,,,,,,,,,,,,cpp,lua,4
,,,,,,,,,,,,,,,,,
Java - Julia (154),,,,,,,,,,,,,,,,,
baseline (0 shot),0.602,0.683,0.714,,,,,,,,,,,,java,jl,0
explain -> translation,0.754,0.81,0.824,,,,,,,,,,,,java,jl,0
explain-lbl -> translation ,0.688,0.738,0.756,,,,,,,,,,,,java,jl,0
explain-lbl-simp -> translation ,0.722,0.763,0.775,,,,,,,,,,,,java,jl,0
baseline (4 shot),0.727,0.787,0.805,,,,,,,,,,,,java,jl,4
explain (0 shot) -> translation (4 shot),0.729,0.795,0.808,,,,,,,,,,,,java,jl,4
explain-lbl -> translation (4 shot),0.724,0.803,0.825,,,,,,,,,,,,java,jl,4
explain-lbl-simp -> translation (4 shot),0.71,0.792,0.813,,,,,,,,,,,,java,jl,4
